name,chunk_id,paper_id,context,measurement,value,units
measurement protocols,5,0,"The main carbon pools in tropical forest ecosystems are the living biomass of trees and understory vegetation and the dead mass of litter, woody debris and soil organic matter. The carbon stored in the aboveground living biomass of trees is typically the largest pool and the most directly impacted by deforestation and degradation. Thus, estimating aboveground forest biomass carbon is the most critical step in quantifying carbon stocks and fluxes from tropical forests, and the focus of this paper. Measurement protocols for other carbon pools are described elsewhere (e.g. Post et al 1999, Brown and Masera 2003, Pearson et al 2005a, IPCC 2006).",carbon_sequestration,None,Mt C a^-1
DeFries et al 2005,68,0,"To estimate carbon emissions it is necessary to know the area deforested and the amount of carbon these forests stored. Deforestation will likely be assessed using remote sensing and ideally the same observations will be used both to estimate deforestation and to design the forest carbon sampling matrix and scheme. If forest carbon stocks are collected according to a stratified sampling design it is important that deforestation is estimated for those same strata either through ‘wall-to-wall’ mapping or by ‘targeting sampling’ using the same stratified sampling scheme (DeFries et al 2005, 2007, Olander et al 2007). The average carbon stock value for each forest strata can be applied to the satellite-based forest map to estimate national-level forest carbon stocks or to a map of deforestation to estimate national-level forest emissions. Changes in carbon stocks and emissions could be monitored from satellite-based observations of deforestation once the broad spatial distribution of carbon stocks is well established (assuming deforestation and carbon assessments are compatible).",carbon_sequestration,None,Mt C a^-1
"Achard F, Eva H D, Stibig H-J, Mayaux P, Gallego J, Richards T and Malingreau J-P 2002 Determination of deforestation rates of the world’s human tropical forests Science 297 999–1002",75,0,"Achard F, Belward A S, Eva H D, Federici S, Mollicone D and Raes F 2006 Accounting for avoided conversion of intact and non-intact forests: technical options and a proposal for a policytool European Commission Joint Research Center paper www.gem.jrc.it/tem/EU_development_policy/activities/kyoto_support.htmAchard F, DeFries R, Eva H, Hansen M, Mayaux P and Stibig H-J 2007 Pan-tropical monitoring of deforestation Environ. Res. Lett. 2 045022Achard F, Eva H D, Mayaux P, Stibig H-J and Belward A 2004 Improved estimates of net carbon emissions from land cover change in the tropics for the 1990s Glob. Biogeochem. Cycles 18 GB2008 doi:10.1029/2003GB002142Achard F, Eva H D, Stibig H-J, Mayaux P, Gallego J, Richards T and Malingreau J-P 2002 Determination of deforestation rates of the world’s human tropical forests Science 297 999–1002",carbon_sequestration,1002,Mt C a^-1
broadleaved deciduous open,55,0,"a Overview of methods used to develop table 3: In most cases, total forest carbon stocks per country were calculated by applying biome-average forest carbon values to a satellite-based global land cover map for the year 2000 (GLC 2000) stratified by the FAO forest ecological zone map (FAO 2001). Gibbs and Brown (2007a, 2007b) applied a rule-based model to the GLC 2000 map. Additional description of data sources can be found in table 2 footnotes. All values are for above- and belowground forest biomass carbon stocks (trunk, branches, roots). Units expressed as million tonnes of carbon (M t C). (1) We attempted to trace each biome average to the original source of data and explain all modifications made by the biomass dataset producers, but this was not always possible. (2) Forest classes from the global classification scheme of GLC 2000 include the following: broadleaved evergreen, broadleaved deciduous open, broadleaved deciduous closed, needleleaved evergreen, needleleaved deciduous, mixed leaf, mosaic, and burnt. All non-forest land cover categories were excluded. (3) Each data set provided different values for different biome types. If only a single forest class was provided it was applied universally to all of the above classes (open and closed). When more than one forest category was provided it was translated and applied accordingly. (4) Note that only Gibbs and Brown (2007a, 2007b) account for the impact of human disturbance on forest carbon stocks. All other estimates use the same biome-average carbon value for all forests within each broad class regardless of their condition—however, we divided the average forest carbon stocks values in half for the mosaic and burnt classes in GLC 2000.",carbon_sequestration,None,Mt C a^-1
"DeFries R, Achard F, Brown S, Herold M, Murdiyarso D, Schmalmadinger B and deSouza C 2007 Earth observations for estimating greenhouse gas emissions from deforestation in developing countries Environ. Sci. Policy 10 385–94",79,0,"Cairns M A, Brown S, Helmer E H and Baumgardner G A 1997 Root biomass allocation in the world’s upland forests Oecologia 111 1–11Chambers J Q, Higuchi N, Tribuzy E S and Trumbore S E 2001 Carbon sink for a century Nature 410 429Chave J, Condit R, Aguilar S, Hernandez A, Lao S and Perez R 2004 Error propagation and scaling for tropical forest biomass estimates Phil. Trans. R. Soc. B 359 409–20Chave J et al 2005 Tree allometry and improved estimation of carbon stocks and balance in tropical forests Oecologia 145 87–9DeFries R, Achard F, Brown S, Herold M, Murdiyarso D, Schmalmadinger B and deSouza C 2007 Earth observations for estimating greenhouse gas emissions from deforestation in developing countries Environ. Sci. Policy 10 385–94",carbon_sequestration,10,Mt C a^-1
"Paciomik N and Rypdal K 2003 Cross cutting issues, section 5.3 sampling Good Practice Guidance For Land Use, Land-Use Change and Forestry, Intergovernmental Panel on Climate Change National Greenhouse Gas Inventories Programme ed J Penman, M Gytartsky, T Hiraishi, T Krug, D Kruger, R Pipatti, L Buendia, K Miwa, T Ngara, K Tanabe and F Wagner (Kanagawa: Institute for Global Environmental Strategies (IGES)) pp 5.21–5.28",91,0,"Paciomik N and Rypdal K 2003 Cross cutting issues, section 5.3 sampling Good Practice Guidance For Land Use, Land-Use Change and Forestry, Intergovernmental Panel on Climate Change National Greenhouse Gas Inventories Programme ed J Penman, M Gytartsky, T Hiraishi, T Krug, D Kruger, R Pipatti, L Buendia, K Miwa, T Ngara, K Tanabe and F Wagner (Kanagawa: Institute for Global Environmental Strategies (IGES)) pp 5.21–5.28Page S E, Siegert F, Rieley J O, Boehm Hans-Dieter V, Jaya A and Limin S 2002 The amount of carbon released from peat and forest fires in Indonesia during 1997 Nature 420 61–5Patenaude G et al 2004 Quantifying forest above ground carbon content using lidar remote sensing Remote Sens. Environ. 93 368–80",carbon_sequestration,None,Mt C a^-1
geographical information system,20,0,"Biome averages, however, are freely and immediately available and currently provide the only source of globally consistent forest carbon information. For these reasons, and despite the uncertainties, biome averages continue to be the most routinely used source of forest carbon stock data. Moreover, biome averages provide an important starting point for a country to assess the relative magnitude of their emissions from deforestation and degradation (IPCC Tier 1). Here we have compiled biome-average carbon stock estimates from prominent data sources (table 2). We attempted to trace the original source data and explain all modifications made by the biomass dataset producers, but that was not possible in every instance. We also standardized assumptions about carbon storage in different pools to allow true comparison.We calculated a range of forest carbon stock estimates for each tropical country by applying the standardized biome averages to the widely accepted forest classification scheme of the Global Land Cover 2000 (GLC 2000) vegetation map (stratified by FAO ecological zone map) and then overlaying country boundaries in a geographical information system (table 3).",carbon_sequestration,None,Mt C a^-1
deforestation,68,0,"To estimate carbon emissions it is necessary to know the area deforested and the amount of carbon these forests stored. Deforestation will likely be assessed using remote sensing and ideally the same observations will be used both to estimate deforestation and to design the forest carbon sampling matrix and scheme. If forest carbon stocks are collected according to a stratified sampling design it is important that deforestation is estimated for those same strata either through ‘wall-to-wall’ mapping or by ‘targeting sampling’ using the same stratified sampling scheme (DeFries et al 2005, 2007, Olander et al 2007). The average carbon stock value for each forest strata can be applied to the satellite-based forest map to estimate national-level forest carbon stocks or to a map of deforestation to estimate national-level forest emissions. Changes in carbon stocks and emissions could be monitored from satellite-based observations of deforestation once the broad spatial distribution of carbon stocks is well established (assuming deforestation and carbon assessments are compatible).",carbon_sequestration,None,Mt C a^-1
1621 N Kent Street,0,0,"# Monitoring and estimating tropical forest carbon stocks: making REDD a reality**Holly K Gibbs$^{1}$, Sandra Brown$^{2}$, John O Niles$^{3}$ and Jonathan A Foley$^{1}$**$^{1}$ Center for Sustainability and the Global Environment (SAGE), Nelson Institute for Environmental Studies, University of Wisconsin, 1710 University Avenue, Madison, WI 53726, USA$^{2}$ Winrock International, Ecosystem Services Unit, 1621 N Kent Street, Suite 1200, Arlington, VA 22207, USA$^{3}$ Carbon Conservation, 1226 E Mason Street, Santa Barbara, CA 93103, USAReceived 14 August 2007Accepted for publication 1 November 2007Published 5 December 2007Online at stacks.iop.org/ERL/2/045023",carbon_sequestration,None,Mt C a^-1
Rondonia,60,0,"The spatial distribution of forest carbon in the Amazon remains uncertain (Houghton et al 2001) but recent efforts have had more success extending a few reliable ground-based estimates of carbon density to larger scales. For example, Saatchi et al (2007) developed a map for the Amazon Basin using a method related to Brown’s but based more heavily on remotely sensed indices. Sales et al (2007) were also successful in using geostatistics to extrapolate the RADAMBRASIL forest inventory data across Rondonia, Brazil.5. Remote-sensing options",carbon_sequestration,None,Mt C a^-1
