title,author,year,chunk_id,context,name,date,location,ecosystem,measurement,value,context_score,parametric_score,units,validation_status
biogeochemistry of natural ponds in agricultural landscape: lessons learned from modeling a kettle hole in northeast germany,onandia; gabriela; lischeid; gunnar; kalettka; thomas; kleeberg; andreas; omari; mohamed; premke; katrin; arhonditsis; george b.,2018,260,"## 2.1. Study site and data collection


The Rittgarten kettle hole (hereafter Rittgarten) was chosen as case study for this work. Rittgarten (E013°, 42 ′ , 09 ″ , N 53°, 23 ′ , 22 ″ ) is located in Uckermark, Northeast Germany, and is a representative system of small shallow shore over /uniFB02 owkettle holes with semi-permanent hydroperiod, which abound in the region (Fig. 1). According to the hydrogeomorphic classi /uniFB01 cation developed by Kalettka and Rudat (2006), these type of kettle holes only dry up every few years after a persistent precipitation de /uniFB01 cit. Rittgarten (Fig. 1) has been intensively studied as part of the long-term studies of the LandScales project (Premke et al., 2016; Nitzsche et al. 2017). Its topographic catchment ( ≈ 5.7 ha) is dominated by intensive agriculture, and is characterized by a low to medium erosion exposure (Kleeberg et al., 2016a). When it is completely inundated, maximal water depth is about 2.3 m at the deepest point, while the surrounding area is around 1460 m 2 . Rittgarten is dominated by edge type vegetation (Luthardt and Dreger, 1996); namely, a reed belt of Phragmites australis (Cav.) Trin ex Steudel (Kleeberg et al., 2016a). Rittgarten is hydraulically connected to a shallow aquifer with a thick till layer as lower con /uniFB01 ningbed. The sediments consist of medium to coarse grained glacial sand alternating with silty-loamy layers of various thickness and



lenses of weathered till (Merz and Steidl, 2015). Residence time within the kettle hole basins, assessed via isotope data, is usually in the order of a few years (Nitzsche et al., 2017) which is very long compared to the kinetics of internal processes.",Rittgarten,,"Uckermark, Northeast Germany (E013°, 42 ′ , 09 ″ , N 53°, 23 ′ , 22 ″ )",pond,latitude,"53°, 23 ′, 22 ″",267.74285888671875,11.05812931060791,degrees,valid
concordance of species composition patterns among microcrustaceans; rotifers and testate amoebae in a shallow pond,bini et al.,2007,490,"## 2. Methods



 
## 2.1. Study Area


The samples were gathered in Samambaia Lake (16¡35 ′ S, 49¡16 ′ W), which is a 33 years old pond, with an area of ca. 4 ha. Approximately, 10% of this area is covered by submerged aquatic plants (mainly Lindernia sp.). The average depth is about 3 m, with a maximum depth of 4.5 m. Since this pond is located inside the campus of the Federal University of Goiás (State of Goiás, Central Brazil), it is relatively protected from sewage drains and other impacts (BRANDÃO and KRAVCHENKO, 1997). Total P, nitrate  and  nitrate  concentrations  ranged  from  1  to  160 µ g/L,  0.99  to  710 µ g/L and 9 to 100.5 µ g/L, respectively, with median concentrations of 33 µ g/L, 83.9 µ g/L and 44.2 µ g/L (NOGUEIRA, 1999).




 
## 2.2. Sampling


Samples were gathered on August 2003 (dry period) and January 2004 (rainy period), on nine sites distributed along the major axis of the pond (Fig. 1). On each site, 1000 L of water were filtered over a 70 µ m zooplankton net, using a suction pump. Samples were fixed with 4% formaldehyde and concentrated to a standard volume of 500 mL.



Testate  amoebae,  microcrustaceans  and  rotifers  were  counted  in  a  Sedgwick-Rafter  counting  cell using a stereomicroscope and were expressed as individuals per liter.



The following abiotic variables were determined with a HORIBA U - 10 water quality meter: pH, dissolved oxygen, conductivity and water temperature. Water transparency (Secchi disk) and depth values were also recorded in all sites.",Samambaia Lake,,"Federal University of Goiás (State of Goiás, Central Brazil)",pond,latitude,16¡35 ′ S,133.19436645507812,5.487863540649414,degrees,valid
biogeochemistry of natural ponds in agricultural landscape: lessons learned from modeling a kettle hole in northeast germany,onandia; gabriela; lischeid; gunnar; kalettka; thomas; kleeberg; andreas; omari; mohamed; premke; katrin; arhonditsis; george b.,2018,260,"## 2.1. Study site and data collection


The Rittgarten kettle hole (hereafter Rittgarten) was chosen as case study for this work. Rittgarten (E013°, 42 ′ , 09 ″ , N 53°, 23 ′ , 22 ″ ) is located in Uckermark, Northeast Germany, and is a representative system of small shallow shore over /uniFB02 owkettle holes with semi-permanent hydroperiod, which abound in the region (Fig. 1). According to the hydrogeomorphic classi /uniFB01 cation developed by Kalettka and Rudat (2006), these type of kettle holes only dry up every few years after a persistent precipitation de /uniFB01 cit. Rittgarten (Fig. 1) has been intensively studied as part of the long-term studies of the LandScales project (Premke et al., 2016; Nitzsche et al. 2017). Its topographic catchment ( ≈ 5.7 ha) is dominated by intensive agriculture, and is characterized by a low to medium erosion exposure (Kleeberg et al., 2016a). When it is completely inundated, maximal water depth is about 2.3 m at the deepest point, while the surrounding area is around 1460 m 2 . Rittgarten is dominated by edge type vegetation (Luthardt and Dreger, 1996); namely, a reed belt of Phragmites australis (Cav.) Trin ex Steudel (Kleeberg et al., 2016a). Rittgarten is hydraulically connected to a shallow aquifer with a thick till layer as lower con /uniFB01 ningbed. The sediments consist of medium to coarse grained glacial sand alternating with silty-loamy layers of various thickness and



lenses of weathered till (Merz and Steidl, 2015). Residence time within the kettle hole basins, assessed via isotope data, is usually in the order of a few years (Nitzsche et al., 2017) which is very long compared to the kinetics of internal processes.",Rittgarten,,"Uckermark, Northeast Germany (E013°, 42 ′ , 09 ″ , N 53°, 23 ′ , 22 ″ )",pond,longitude,"E013°, 42 ′, 09 ″",271.8895874023437,12.02854824066162,degrees,valid
concordance of species composition patterns among microcrustaceans; rotifers and testate amoebae in a shallow pond,bini et al.,2007,490,"## 2. Methods



 
## 2.1. Study Area


The samples were gathered in Samambaia Lake (16¡35 ′ S, 49¡16 ′ W), which is a 33 years old pond, with an area of ca. 4 ha. Approximately, 10% of this area is covered by submerged aquatic plants (mainly Lindernia sp.). The average depth is about 3 m, with a maximum depth of 4.5 m. Since this pond is located inside the campus of the Federal University of Goiás (State of Goiás, Central Brazil), it is relatively protected from sewage drains and other impacts (BRANDÃO and KRAVCHENKO, 1997). Total P, nitrate  and  nitrate  concentrations  ranged  from  1  to  160 µ g/L,  0.99  to  710 µ g/L and 9 to 100.5 µ g/L, respectively, with median concentrations of 33 µ g/L, 83.9 µ g/L and 44.2 µ g/L (NOGUEIRA, 1999).




 
## 2.2. Sampling


Samples were gathered on August 2003 (dry period) and January 2004 (rainy period), on nine sites distributed along the major axis of the pond (Fig. 1). On each site, 1000 L of water were filtered over a 70 µ m zooplankton net, using a suction pump. Samples were fixed with 4% formaldehyde and concentrated to a standard volume of 500 mL.



Testate  amoebae,  microcrustaceans  and  rotifers  were  counted  in  a  Sedgwick-Rafter  counting  cell using a stereomicroscope and were expressed as individuals per liter.



The following abiotic variables were determined with a HORIBA U - 10 water quality meter: pH, dissolved oxygen, conductivity and water temperature. Water transparency (Secchi disk) and depth values were also recorded in all sites.",Samambaia Lake,,"Federal University of Goiás (State of Goiás, Central Brazil)",pond,longitude,49¡16 ′ W,106.84841918945312,4.565117359161377,degrees,valid
agricultural freshwater pond supports diverse and dynamic bacterial and viral populations,chopyk et al.,2018,7,"## MATERIALS AND METHODS



 
## Study Site and Sample Collection


Ten-liter water samples were collected in October 2016, November 2016, and December 2016 from a temperate freshwater agricultural pond in central Maryland, United States (maximum depth of ca. 3.35 meters and a surface area of ca. 0.26 ha). A Honda WX10TA (32 GPM) water pump was used to collect water 15-30 cm below the surface into a sterile polypropylene carboy. Samples were kept in the dark at 4 GLYPH<14> C and processed within 24 h of collection. In addition, a ProDSS digital sampling system (YSI, Yellow Springs, OH, United States) was used to measure, in triplicate: the water temperature ( GLYPH<14> C), conductivity (SPC uS/cm), pH, dissolved oxygen (%), oxidation/reduction potential (mV), turbidity (FNU), nitrate (mg/L), and chloride (mg/L).",temperate freshwater agricultural pond,October 2016,"central Maryland, United States",pond,surface_area,0.26 ha,103.25839233398438,4.58650016784668,ha,valid
aquatic insect assemblages of man-made permanent ponds; buenos aires city; argentina,fontanarrosa,2013,76,"Sampling sites were located in one of the largest ( ≈ 80 ha) green spaces of the city, known as ' Parques de Palermo ' (Fig 1). This parkland is daily used as a recreational area and frequently is cleaned by the customary collection of garbage and lawn cutting. Four man-made permanent freshwater habitats were selected for the present study. These habitats were classified as ponds according to the following definitions: (a) water bodies between 1 m 2 and 2 ha in area, which may be permanent or seasonal, including both man-made and natural water bodies (Biggs et al 2005) and (b) a water body with a maximum depth of no more than 8 m, offering water plants the possibility to colonise almost the entire area of the pond (Oertli et al 2000). The main characteristics of the four studied ponds are summarised in Table 1. Water chemical values recorded on January 2004 were provided by the city authorities. These urban ponds are eutrophic, with differences on their chemical variables. P1, usually shadowing, showed the highest conductivity, chlorides, hardness and the lowest value of dissolved oxygen. Conversely, P4 was the most oxygenated may be due to the great photosynthetic activity, with the highest value of pH, total phosphorus and ammonium. In these ponds, no free-floating plant was observed and the removal of submerged vegetation by the park authorities was observed on each sample date. The surface water temperature of each water body was measured on every sample date with a digital thermometer. The surface areas of water bodies were calculated from aerial photographs provided by the Instituto Geográfico Militar (1998; scale 1:15,000) using GIS-Arc View 3.1.",Ponds,,Parques de Palermo,pond,surface_area,2,42.36995315551758,1.8778283596038816,ha,mis-interpretation
biodiversity of constructed wetlands for wastewater treatment,hsu,2011,234,"(Fig. 4). Japanese White-eye ( Zosterops japonica ), Red Turtle Dove ( Streptopelia tranquebarica ), Oriental Turtle Dove ( S . orientalis ), and Barn Swallow ( Hirundo rustica ) were mainly distributed in cells with large areas and high concentrations of phytoplankton Chl -a and SS and pH values (Fig. 4). Cattle Egret ( Bubulcus ibis ), Common Moorhen ( Gallinula chloropus ), Yellow-bellied Prinia ( Prinia flaviventris ), Tawny Prinia ( P . subflava ), and Spotted-necked Dove ( Streptopelia chinensis ) were positively correlated with the density of aquatic macroinvertebrates (Fig. 4).



The RDA with automatic forward selection showed that the fish community structure in the constructed wetlands was significantly correlated with the wetland area, H ′ of aquatic macrophytes, concentrations of DO, SS, TP, and COD, and density of aquatic macroinvertebrates ( p < 0.1, Monte Carlo permutation with 999 permutations; Table 7). Seven variables explained 46.4% of the total variation in abundances of four dominant fish species ( F = 5.57, df = 6 and 44, p = 0.0010, Monte Carlo permutation test with 999 permutations; Table 8). The RDA plot showed that goldfish, tilapia,



and topmouth gudgeon were more abundant in treatment cells with a larger area, higher concentrations of SS and COD, and a low density of aquatic macroinvertebrates (Fig. 5). The blue gourami was more abundant in treatment cells with a higher H ′ value of macrophytes and TP concentrations (Fig. 5).",constructed wetlands,,,wetland,surface_area,w wetlands,85.08958435058594,3.792881965637207,ha,hallucination
biodiversity of constructed wetlands for wastewater treatment,hsu,2011,251,"## Table 7 Variables that significantly (Monte Carlo permutation tests, p < 0.1) explained the community structures of birds, fishes, and aquatic macroinvertebrates in the constructed wetlands. Variables that best explain the variance in biotic community structure are ranked first, while the remaining variables are ranked on the basis of the additional fit based on model selection.

| Selected variables                        | F-value | p-value | Variance explained | Correlation |
|------------------------------------------|---------|---------|--------------------|-------------|
|                                          |         |         |                    | Axis 1      | Axis 2    |
| Birds                                    |         |         |                    |             |           |
| Water temperature                        | 3.82    | 0.001   | 0.18               | -0.68       | -0.09     |
| pH                                       | 2.71    | 0.001   | 0.13               | -0.30       | 0.30      |
| Species richness of fish                 | 2.69    | 0.001   | 0.12               | -0.33       | -0.02     |
| Wetland area                             | 2.28    | 0.002   | 0.10               | -0.37       | 0.30      |
| Species richness of aquatic macrophytes  | 2.58    | 0.001   | 0.12               | -0.23       | -0.48     |
| Total phosphorus                         | 1.98    | 0.001   | 0.08               | 0.13        | 0.06      |
| Suspended solids                         | 1.64    | 0.032   | 0.07               | -0.29       | 0.32      |
| Phytoplankton chlorophyll a             | 1.61    | 0.034   | 0.07               | -0.34       | 0.19      |
| Density of aquatic macroinvertebrates    | 1.65    | 0.014   | 0.07               | 0.11        | -0.16     |
| Fish abundance                           | 1.53    | 0.058   | 0.07               | -0.27       | -0.02     |
| Fishes                                   |         |         |                    |             |           |
| Wetland area                             | 6.24    | 0.002   | 0.11               | -0.35       | -0.38     |
| $H'$ of aquatic macrophytes              | 8.51    | 0.001   | 0.13               | 0.41        | -0.02     |
| Dissolved oxygen                         | 4.45    | 0.07    | 0.06               | 0.10        | -0.42     |
| Suspended solids                         | 3.87    | 0.023   | 0.05               | -0.22       | 0.14      |
| Total phosphorus                         | 2.44    | 0.072   | 0.04               | 0.32        | -0.05     |
| Chemical oxygen demand                   | 3.80    | 0.026   | 0.04               | -0.07       | 0.08      |
| Density of aquatic macroinvertebrates    | 2.64    | 0.067   | 0.03               | 0.22        | 0.49      |
| Aquatic macroinvertebrates               |         |         |                    |             |           |
| Species richness of fish                 | 7.03    | 0.001   | 0.07               | -0.43       | -0.39     |
| Cover of aquatic macrophytes             | 5.87    | 0.001   | 0.05               | -0.32       | 0.42      |
| Conductivity                             | 3.39    | 0.002   | 0.03               | 0.44        | -0.04     |
| Water temperature                        | 2.78    | 0.006   | 0.03               | -0.29       | 0.08      |
| pH                                       | 2.12    | 0.034   | 0.01               | -0.03       | -0.04     |
| Dissolved oxygen                         | 1.87    | 0.047   | 0.02               | -0.38       | -0.18     |
| Species richness of aquatic macrophytes  | 1.86    | 0.038   | 0.02               | -0.17       | -0.01     |",wetlands,,,wetland,surface_area,0.11,93.5490264892578,3.7241387367248535,ha,mis-interpretation
biogeochemistry of natural ponds in agricultural landscape: lessons learned from modeling a kettle hole in northeast germany,onandia; gabriela; lischeid; gunnar; kalettka; thomas; kleeberg; andreas; omari; mohamed; premke; katrin; arhonditsis; george b.,2018,260,"## 2.1. Study site and data collection


The Rittgarten kettle hole (hereafter Rittgarten) was chosen as case study for this work. Rittgarten (E013°, 42 ′ , 09 ″ , N 53°, 23 ′ , 22 ″ ) is located in Uckermark, Northeast Germany, and is a representative system of small shallow shore over /uniFB02 owkettle holes with semi-permanent hydroperiod, which abound in the region (Fig. 1). According to the hydrogeomorphic classi /uniFB01 cation developed by Kalettka and Rudat (2006), these type of kettle holes only dry up every few years after a persistent precipitation de /uniFB01 cit. Rittgarten (Fig. 1) has been intensively studied as part of the long-term studies of the LandScales project (Premke et al., 2016; Nitzsche et al. 2017). Its topographic catchment ( ≈ 5.7 ha) is dominated by intensive agriculture, and is characterized by a low to medium erosion exposure (Kleeberg et al., 2016a). When it is completely inundated, maximal water depth is about 2.3 m at the deepest point, while the surrounding area is around 1460 m 2 . Rittgarten is dominated by edge type vegetation (Luthardt and Dreger, 1996); namely, a reed belt of Phragmites australis (Cav.) Trin ex Steudel (Kleeberg et al., 2016a). Rittgarten is hydraulically connected to a shallow aquifer with a thick till layer as lower con /uniFB01 ningbed. The sediments consist of medium to coarse grained glacial sand alternating with silty-loamy layers of various thickness and



lenses of weathered till (Merz and Steidl, 2015). Residence time within the kettle hole basins, assessed via isotope data, is usually in the order of a few years (Nitzsche et al., 2017) which is very long compared to the kinetics of internal processes.",Rittgarten,,"Uckermark, Northeast Germany (E013°, 42 ′ , 09 ″ , N 53°, 23 ′ , 22 ″ )",pond,surface_area,1460,61.41227722167969,2.8376810550689697,m^2,valid
comprehensive approach to restoring urban recreational reservoirs. part 1-reduction of nutrient loading through low-cost and highly effective ecohydrological measures,jurczak; tomasz; wagner; iwona; wojtal-frankiewicz; adrianna; frankiewicz; piotr; bednarek; agnieszka; lapinska; malgorzata; kaczkowski; zbigniew; zalewski; maciej,2019,467,"## 3.3.3. Vegetation harvesting from the shoreline zones and floating island


In 2015, we identified 3714 plants in the three vegetated shorelines planted at LA and B17 in 2013, and at MA in 2014. The autumn harvesting of vegetation from the shoreline vegetation zones removed over 2.5 kg of nitrogen and almost 0.5 kg of phosphorous (Table 1). Approximately 1000 plants were planted on the floating island, an area of 100 m 2 , which was constructed in LA in 2013. In all, 0.38 kg of N and 0.06 kg of P was estimated to have been removed from the floating island. The cost of construction and maintenance of the shoreline vegetation was €11250 from a 10-year perspective and is estimating to €15250 from a 20-year perspective (Table 1).




 
## 3.3.4. Hydrodictyon reticulatum removal


In 2014, H. reticulatum was removed from 450 m 2 and 1530 m 2 areas in LA and MA, respectively. The removal of H. reticulatum from LA and MA eliminated 18.5 g and 1.18 g of nitrogen and phosphorous, respectively, for each kilogram of dry biomass of these green algae (Table 5). In total, by removing 59.4 m 3 of algae, 11.6 kg of nitrogen and 0.74 kg of phosphorous were extracted from the reservoirs (Table 1). The cost of the one-time removal of H. reticulatum was €764.




 
## 4. Discussion",floating island,2013,LA,wetland,surface_area,100 m²,79.57736206054688,3.77242374420166,m^2,mis-interpretation
